var_1,var_2,correlation
x222,x223,0.9974470847173104
x273,x279,0.997159592637082
x111,x121,0.9957794626845914
x166,x167,0.991535479422872
x129,x139,0.9898592636398267
x206,x216,0.9895146626129819
x205,x215,0.9894967945909126
x130,x140,0.9893237384784531
x131,x141,0.9891299966931453
x204,x214,0.9881583305487144
x128,x138,0.9859051467496439
x152,x153,0.9847095734452138
x216,x221,0.9833519597364588
x214,x219,0.9825882910867175
x127,x137,0.981967685330564
x215,x220,0.981890434549905
x115,x116,0.9813170231495216
x203,x213,0.981185122824451
x139,x144,0.9782630296285157
x059,x065,0.9779944338932881
x213,x218,0.9767501678892277
x165,x166,0.9764467337429906
x138,x143,0.9762261665414456
x141,x146,0.9750961897086815
x120,x121,0.9744765070211108
x140,x145,0.9744390761989773
x159,x160,0.9743331999686136
x135,x136,0.9742835848350795
x140,x141,0.9734795360165891
x130,x131,0.9722015102956846
x145,x146,0.9713786859494731
x137,x142,0.9695656495441375
x258,x292,0.967587240766215
x202,x212,0.9674861828058526
x066,x072,0.9669812319036909
x206,x221,0.965410928461541
x111,x120,0.9652962658084381
x255,x257,0.9640840998771459
x196,x206,0.9639145202235387
x114,x115,0.9638272471221577
x205,x220,0.9635726975232478
x142,x217,0.9634463181739036
x195,x205,0.9633244720797133
x256,x257,0.9628684975771823
x151,x152,0.9628413349563578
x131,x140,0.9628119004055544
x130,x141,0.9625912416658481
x190,x191,0.9621548281893381
x204,x219,0.9620135996774974
x066,x074,0.9619054752778539
x129,x144,0.9616535012492953
x225,x226,0.9600566524863701
x279,x281,0.9599727056015085
x141,x145,0.9598872426541667
x212,x217,0.9597068916009025
x194,x204,0.9591816142449316
x121,x131,0.9587651838309383
x158,x159,0.9575090371291153
x120,x130,0.9574865336899344
x165,x167,0.9563907489480562
x131,x146,0.9560966824371868
x273,x281,0.9555692536531804
x130,x145,0.9554724373263197
x119,x129,0.95487615523145
x111,x131,0.9544445767463967
x119,x120,0.9536039449641383
x193,x203,0.9535483958088812
x128,x143,0.9526774857363968
x118,x128,0.9514267885380984
x195,x196,0.9510916812762076
x139,x140,0.951048266583268
